activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,distance,distanceUnit,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,pace,source,speed,startTime,steps,tcxLink
922000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",Walk,90013,106,115,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-02/2018-06-02/1min/time/11:08/11:23.json,,,922000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-02/2018-06-02/1sec/time/11:08:21/11:23:43.json,"[{'max': 98, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 14, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-02T15:53:42.000Z,14619597295,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2018-06-02,,,,2018-06-02T11:08:21.000-04:00,1498,https://api.fitbit.com/1/user/-/activities/14619597295.tcx
1434000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",Walk,90013,105,189,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-02/2018-06-02/1min/time/11:54/12:18.json,,,1434000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-02/2018-06-02/1sec/time/11:54:27/12:18:21.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 22, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-02T16:24:28.000Z,14620215700,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1434000,2018-06-02,,,,2018-06-02T11:54:27.000-04:00,2266,https://api.fitbit.com/1/user/-/activities/14620215700.tcx
1740000,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 13, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 7, 'name': 'very'}]",Walk,90013,104,189,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-02/2018-06-02/1min/time/22:11/22:40.json,,,1740000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-02/2018-06-02/1sec/time/22:11:25/22:40:25.json,"[{'max': 98, 'min': 30, 'minutes': 6, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 23, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-03T02:44:57.000Z,14629601317,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1740000,2018-06-03,,,,2018-06-02T22:11:25.000-04:00,1863,https://api.fitbit.com/1/user/-/activities/14629601317.tcx
973000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 8, 'name': 'very'}]",Walk,90013,105,118,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-03/2018-06-03/1min/time/13:52/14:08.json,,,973000,30.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-03/2018-06-03/1sec/time/13:52:38/14:08:51.json,"[{'max': 98, 'min': 30, 'minutes': 3, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-03T18:40:59.000Z,14641412854,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",973000,2018-06-03,,,,2018-06-03T13:52:38.000-04:00,1330,https://api.fitbit.com/1/user/-/activities/14641412854.tcx
4404000,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 27, 'name': 'fairly'}, {'minutes': 40, 'name': 'very'}]",Workout,3000,123,581,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-04/2018-06-04/1min/time/8:18/9:31.json,,,4404000,72.998688,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-04/2018-06-04/1sec/time/08:18:14/09:31:38.json,"[{'max': 98, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 66, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 6, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-04T13:35:13.000Z,14658580057,tracker,"{'calories': False, 'distance': False, 'steps': False}",4404000,2018-06-04,,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2018-06-04T08:18:14.000-04:00,2082,https://api.fitbit.com/1/user/-/activities/14658580057.tcx
1280000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 15, 'name': 'very'}]",Walk,90013,104,171,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-05/2018-06-05/1min/time/18:15/18:37.json,,,1280000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-05/2018-06-05/1sec/time/18:15:58/18:37:18.json,"[{'max': 98, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 18, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-05T22:50:38.000Z,14695886670,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1280000,2018-06-05,,,,2018-06-05T18:15:58.000-04:00,1929,https://api.fitbit.com/1/user/-/activities/14695886670.tcx
2355000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 11, 'name': 'fairly'}, {'minutes': 22, 'name': 'very'}]",Walk,90013,106,292,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-06/2018-06-06/1min/time/18:19/18:59.json,,,2355000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-06/2018-06-06/1sec/time/18:19:49/18:59:04.json,"[{'max': 98, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 35, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-06T23:05:12.000Z,14721124199,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2355000,2018-06-06,,,,2018-06-06T18:19:49.000-04:00,3196,https://api.fitbit.com/1/user/-/activities/14721124199.tcx
1536000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 17, 'name': 'very'}]",Walk,90013,99,198,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-07/2018-06-07/1min/time/18:21/18:47.json,,,1536000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-07/2018-06-07/1sec/time/18:21:57/18:47:33.json,"[{'max': 98, 'min': 30, 'minutes': 13, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-08T12:02:26.000Z,14749891715,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1536000,2018-06-07,,,,2018-06-07T18:21:57.000-04:00,2298,https://api.fitbit.com/1/user/-/activities/14749891715.tcx
3988000,"[{'minutes': 3, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 15, 'name': 'fairly'}, {'minutes': 46, 'name': 'very'}]",Workout,3000,131,585,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-08/2018-06-08/1min/time/8:24/9:30.json,,,3988000,57.001312,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-08/2018-06-08/1sec/time/08:24:23/09:30:51.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 48, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 18, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-08T13:46:06.000Z,14744939146,tracker,"{'calories': False, 'distance': False, 'steps': False}",3988000,2018-06-08,,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2018-06-08T08:24:23.000-04:00,2338,https://api.fitbit.com/1/user/-/activities/14744939146.tcx
973000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,99,127,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-08/2018-06-08/1min/time/18:04/18:20.json,,,973000,53.664698,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-08/2018-06-08/1sec/time/18:04:28/18:20:41.json,"[{'max': 98, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 11, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-08T22:29:20.000Z,14760638032,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",973000,2018-06-08,,,,2018-06-08T18:04:28.000-04:00,1462,https://api.fitbit.com/1/user/-/activities/14760638032.tcx
